id,Obstáculo,Tipo Obstáculo,Area (m²),Altitud,Norte,Este
66,Vegetación,Natural,107.283,220.742,2325493.303,5126576.338
67,Vegetación,Natural,14.174,217.264,2325488.410,5126539.451
68,Vegetación,Natural,92.164,217.774,2326513.133,5126202.250
69,Edificación,Artificial,24.403,214.982,2326512.260,5126218.399
70,Vegetación,Natural,139.071,218.397,2326494.398,5126237.178
71,Vegetación,Natural,22.926,214.331,2326501.229,5126227.417
72,Vegetación,Natural,142.663,217.614,2326155.557,5126149.878
73,Vegetación,Natural,95.584,224.149,2326241.805,5126094.614
74,Vegetación,Natural,117.173,214.375,2325996.022,5126326.913
75,Vegetación,Natural,144.886,212.629,2326043.506,5126269.403
76,Vegetación,Natural,39.140,212.931,2325722.200,5126411.568
77,Vegetación,Natural,45.067,216.315,2325742.689,5126403.254
78,Vegetación,Natural,85.169,219.553,2325643.498,5126473.009
79,Vegetación,Natural,17.247,216.664,2325657.100,5126425.412
80,Vegetación,Natural,41.276,217.013,2325635.933,5126451.227
81,Vegetación,Natural,25.059,216.331,2325638.368,5126496.351
82,Vegetación,Natural,127.272,222.284,2325630.961,5126507.952
83,Vegetación,Natural,40.363,218.852,2325635.833,5126462.944
84,Vegetación,Natural,76.413,217.465,2327014.262,5125953.770
85,Vegetación,Natural,89.601,218.382,2326959.585,5125839.177
86,Vegetación,Natural,51.041,222.900,2327012.068,5125977.064
87,Vegetación,Natural,55.186,216.705,2326835.907,5126063.851
88,Vegetación,Natural,37.261,216.146,2326848.824,5126049.591
89,Vegetación,Natural,1522.730,220.002,2326796.253,5126054.641
90,Vegetación,Natural,47.886,212.016,2326800.195,5126026.555
91,Vegetación,Natural,132.332,216.468,2326655.222,5126143.053
92,Vegetación,Natural,39.466,214.634,2326670.931,5126113.141
93,Edificación,Artificial,93.293,207.243,2326605.591,5126132.424
94,Vegetación,Natural,9344.432,233.721,2326775.518,5126019.677
95,Edificación,Artificial,62.427,209.246,2326560.348,5126167.061
96,Edificación,Artificial,25.674,207.875,2326570.828,5126158.578
97,Vegetación,Natural,129.688,220.616,2326557.138,5126204.778
98,Edificación,Artificial,34.705,208.083,2326554.565,5126172.435
99,Vegetación,Natural,121.306,219.692,2325875.322,5126287.438
100,Vegetación,Natural,278.972,219.524,2325914.448,5126265.515
101,Vegetación,Natural,82.198,220.632,2325834.890,5126290.594
102,Vegetación,Natural,137.846,225.492,2325885.038,5126301.454
103,Vegetación,Natural,95.277,221.007,2325820.795,5126312.872
104,Vegetación,Natural,127.329,218.554,2325846.230,5126330.345
105,Vegetación,Natural,94.121,208.549,2325889.727,5126399.039
106,Vegetación,Natural,190.726,220.319,2325676.796,5126410.622
107,Vegetación,Natural,157.829,214.900,2326881.080,5125780.836
108,Edificación,Artificial,6.990,206.565,2325726.685,5126504.556
109,Edificación,Artificial,218.159,213.878,2326782.899,5125857.028
110,Vegetación,Natural,83.450,219.640,2326880.554,5125811.357
111,Vegetación,Natural,111.675,213.901,2326509.956,5126237.126
112,Vegetación,Natural,389.377,208.771,2326527.153,5126149.044
113,Vegetación,Natural,281.370,218.899,2326663.065,5126173.745
114,Vegetación,Natural,411.861,217.107,2326640.012,5126174.144
115,Vegetación,Natural,264891.861,226.876,2325355.140,5126796.253
116,Vegetación,Natural,44.559,217.027,2327052.169,5125863.980
117,Vegetación,Natural,1535.878,225.063,2326745.516,5125788.005
118,Vegetación,Natural,4069.092,230.808,2326850.830,5125695.596
119,Vegetación,Natural,5329.229,228.247,2327036.231,5125744.554
120,Edificación,Artificial,1502.392,219.180,2326813.207,5125816.759
121,Vegetación,Natural,120.587,219.670,2325619.323,5126426.128
122,Vegetación,Natural,506.973,231.699,2327296.021,5125797.072
123,Vegetación,Natural,219.611,223.060,2325931.571,5126238.544
124,Vegetación,Natural,144.047,219.767,2325556.224,5126452.275
125,Vegetación,Natural,1445.103,233.395,2326599.123,5126205.541
126,Vegetación,Natural,164.574,224.727,2325907.278,5126239.746
127,Edificación,Artificial,745.957,214.790,2326706.051,5126110.326
128,Edificación,Artificial,47.258,208.245,2326577.828,5126162.323
129,Vegetación,Natural,81.071,219.940,2325988.666,5126201.447
130,Vegetación,Natural,221.943,223.475,2326236.835,5126061.953
131,Vegetación,Natural,1519.078,254.279,2324549.099,5122628.038
132,Vegetación,Natural,3369.918,254.577,2324573.678,5122752.022
133,Vegetación,Natural,568.447,252.795,2324429.239,5122756.833
134,Vegetación,Natural,287.582,251.961,2324470.491,5122773.692
135,Vegetación,Natural,110.897,251.311,2324350.454,5122975.317
136,Vegetación,Natural,123.071,251.442,2324397.880,5122755.294
137,Vegetación,Natural,131.993,252.136,2324300.983,5123025.559
138,Vegetación,Natural,661.956,253.192,2324311.148,5122936.785
139,Vegetación,Natural,158.851,217.455,2326963.495,5125776.365
