id,Obstáculo,Tipo Obstáculo,Area (m²),Altitud,Norte,Este
74,Vegetación,Natural,55.236,137.172,2339730.795,5248811.277
75,Vegetación,Natural,2.871,134.328,2339725.956,5248838.426
76,Vegetación,Natural,1.223,134.731,2339724.029,5248839.640
77,Edificación,Artificial,9.263,128.459,2339700.239,5249407.331
78,Vegetación,Natural,103.586,140.835,2339700.140,5248953.058
79,Vegetación,Natural,283.477,144.683,2339706.197,5248922.903
80,Vegetación,Natural,39.174,141.125,2339685.520,5248914.431
81,Vegetación,Artificial,100.12,141.506,2339913.732,5249538.437
82,Material de construcción,Artificial,322.681,130.251,2339684.458,5249417.341
83,Vegetación,Natural,42.217,144.461,2339621.005,5249285.802
84,Vegetación,Natural,10913.94,145.179,2339648.291,5249530.936
85,Vegetación,Natural,39865.164,150.876,2339719.095,5249056.258
86,Vegetación,Natural,124.066,145.219,2339609.601,5249363.275
87,Vegetación,Natural,58.936,140.712,2339674.169,5249033.257
88,Vegetación,Natural,624.938,144.482,2339664.460,5249273.471
89,Vegetación,Natural,354.777,137.319,2339658.014,5250969.406
90,Vegetación,Natural,5693.052,143.557,2339521.783,5250722.566
91,Vegetación,Natural,1465.66,139.419,2339551.108,5250970.781
